Cam ID,Location,Latitude ,Longitude,camera_type,brand,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,bandwidth_mbps,night_vision,technical_notes,lat_dd,lon_dd,governorate_en,Kuwait_Governorate,estimated_daily_vehicles
14,الاول /الرياض الخارج من المدينه - الشيراتون," 29°21'33.61""N"," 47°58'20.97""E",Analog,Hikvision,2021-10-13 00:00:00,2022-03-13 00:00:00,18,Online,27.7,63,1,114,95,Good,99.14,12.96,TRUE,,29.35933611,47.97249167,Al Asimah,Al Asimah,108240
15,قادم من د. الاول الجسر باتجاه د.2," 29°21'26.34""N","47°57'16.47""E",Dome,Hikvision,2024-04-16 00:00:00,2024-09-26 00:00:00,22,Online,27.6,30,0,573,75,Good,99.82,2.88,FALSE,Firmware update recommended,29.35731667,47.954575,Al Asimah,Al Asimah,81843
16,قادم من د. الاول النفق باتجاه د.2," 29°21'29.67""N","47°57'22.25""E",Analog,Bosch,2021-09-29 00:00:00,2022-05-20 00:00:00,22,Intermittent,38.3,63,0,242,75,Warning,92.5,1.26,TRUE,Firmware update recommended,29.35824167,47.95618056,Al Asimah,Al Asimah,59124
17,قادم من د.2 باتجاه د. الاول نفق," 29°21'33.00""N","47°57'34.51""E",IP,Honeywell,2020-01-10 00:00:00,2023-12-31 00:00:00,20,Online,25.6,36,1,652,64,Good,98.04,4.73,TRUE,Mount stabilization required,29.35916667,47.95958611,Al Asimah,Al Asimah,59903
18,قادم من د.2 باتجاه دوار الجهراء," 29°21'33.86""N","47°57'39.87""E",Dome,Axis,2019-02-11 00:00:00,2023-08-06 00:00:00,21,Intermittent,31.4,68,1,329,80,Warning,96.1,0.64,TRUE,Firmware update recommended,29.35940556,47.961075,Al Asimah,Al Asimah,62745
19,قادم من دوار جمال باتجاه الخليج," 29°21'19.93""N"," 47°57'1.70""E",IP,Uniview,2018-07-01 00:00:00,2018-09-08 00:00:00,18,Online,43.4,46,0,112,77,Good,99.55,4.55,FALSE,Firmware update recommended,29.35553611,47.95047222,Al Asimah,Al Asimah,62668
21,قادم من الخليج  باتجاه دوار جمال  ," 29°21'21.68""N","47°57'0.01""E",Thermal,Vivotek,2018-12-25 00:00:00,2019-09-03 00:00:00,19,Online,25.9,29,1,452,62,Good,98.53,3.24,TRUE,,29.35602222,47.95000278,Al Asimah,Al Asimah,51147
23,مخرج مؤسسة البترول باتجاه الغزالي," 29°21'7.83""N","47°56'41.14""E",Bullet,Bosch,2022-03-27 00:00:00,2023-10-24 00:00:00,23,Online,24.5,53,1,43,70,Good,98.38,5.78,TRUE,Periodic false motion alerts,29.352175,47.94476111,Al Asimah,Al Asimah,75299
24,مدخل مؤسسة البترول باتجاه شارع الخليج," 29°21'7.82""N","47°56'43.29""E",Fisheye,Uniview,2018-10-14 00:00:00,2023-08-08 00:00:00,19,Online,45.2,48,3,330,72,Warning,99.74,1.24,TRUE,Mount stabilization required,29.35217222,47.94535833,Al Asimah,Al Asimah,46302
25,مخرج جسر جابر للقادم من المدينه," 29°20'28.26""N"," 47°55'37.79""E",IP,Hanwha,2018-01-28 00:00:00,2022-09-08 00:00:00,21,Online,33.3,42,0,574,77,Good,99.7,4.31,TRUE,Firmware update recommended,29.34118333,47.92716389,Al Asimah,Al Asimah,89245
26, القادم من جسر جابر باتجاه المدينه - مدخل," 29°20'34.41""N"," 47°55'23.52""E",IP,Axis,2021-07-16 00:00:00,2022-04-14 00:00:00,22,Online,30.7,26,0,32,61,Good,99.36,2.96,TRUE,Focus adjustment needed,29.34289167,47.9232,Al Asimah,Al Asimah,59973
27,مخرج القادم من صليبخات باتجاه الغزالي," 29°20'18.17""N"," 47°55'21.26""E",Fisheye,Dahua,2023-11-01 00:00:00,2025-06-14 00:00:00,22,Online,31.2,45,0,159,94,Good,99.75,3.92,TRUE,Mount stabilization required,29.33838056,47.92257222,Al Asimah,Al Asimah,101551
28,مخرج قادم من العزالي باتجاه المستشفيات," 29°20'7.23""N"," 47°55'43.41""E",Analog,Bosch,2019-02-22 00:00:00,2019-07-08 00:00:00,19,Online,30,43,3,571,84,Warning,98.09,1.29,FALSE,Heat exposure — add shade,29.33534167,47.928725,Al Asimah,Al Asimah,69869
29,مدخل القادم من الغرالي باتجاه المدينه," 29°20'11.96""N"," 47°55'39.89""E",Thermal,Axis,2018-06-29 00:00:00,2019-11-14 00:00:00,19,Online,29,59,2,451,78,Good,98.34,2.15,TRUE,Heat exposure — add shade,29.33665556,47.92774722,Al Asimah,Al Asimah,67055
30,مخرج باتجاه شارع الجهراء والتطبيقي," 29°20'11.65""N","47°55'37.75""E",PTZ,Hanwha,2019-01-15 00:00:00,2022-11-24 00:00:00,22,Online,36.1,52,0,313,72,Good,98.37,2.12,TRUE,Lens requires cleaning,29.33656944,47.92715278,Al Asimah,Al Asimah,60256
32,القادم من طريق الجهراء بإتجاه دوار الجهراء," 29°21'32.45""N"," 47°57'46.41""E",PTZ,Hanwha,2019-06-08 00:00:00,2021-04-27 00:00:00,19,Online,30.2,64,2,144,91,Good,99.76,13.8,FALSE,,29.35901389,47.96289167,Al Asimah,Al Asimah,122231
236,القادم من دوار الجهراء باتجاه طريق د.2," 29°21'32.45""N"," 47°57'46.41""E",IP,Uniview,2018-03-28 00:00:00,2021-05-10 00:00:00,22,Online,39.5,50,4,180,88,Warning,99.79,5.42,TRUE,Lens requires cleaning,29.35901389,47.96289167,Al Asimah,Al Asimah,107021
34,القادم طريق الجهراء باتجاه د.2," 29°20'54.57""N","47°57'24.87""E",IP,Uniview,2022-10-30 00:00:00,2023-12-21 00:00:00,21,Online,26.9,53,2,574,74,Warning,98.13,9.01,TRUE,Check IR LEDs,29.34849167,47.95690833,Al Asimah,Al Asimah,95793
36,ط. الجهراء الشويخ الاداريه باتجاه دوار الامم," 29°20'38.20""N"," 47°56'59.56""E",Thermal,Hikvision,2023-08-05 00:00:00,2025-02-22 00:00:00,23,Online,33.8,41,1,565,87,Good,98.44,2.43,TRUE,,29.34394444,47.94987778,Al Asimah,Al Asimah,87506
37,ط. الجهراء جسر علوي باتجاه الغزالي," 29°20'7.06""N"," 47°56'9.19""E",Dome,Dahua,2020-04-27 00:00:00,2022-07-19 00:00:00,18,Online,29.4,66,0,170,78,Good,98.5,5.31,TRUE,Mount stabilization required,29.33529444,47.93588611,Al Asimah,Al Asimah,87775
38,قادم من الغزالي باتجاه المدينه ," 29°19'58.12""N"," 47°55'58.00""E",Thermal,Dahua,2024-10-30 00:00:00,2025-04-06 00:00:00,19,Online,34.1,55,1,238,77,Good,99.34,3.83,FALSE,,29.33281111,47.93277778,Al Asimah,Al Asimah,72645
39,مدخل الجسر العلوي باتجاه المدينه @ التربيه," 29°19'43.05""N"," 47°55'28.29""E",PTZ,Bosch,2025-01-03 00:00:00,2025-08-10 00:00:00,21,Intermittent,32.7,55,0,575,81,Good,95.06,4.17,TRUE,,29.328625,47.924525,Al Asimah,Al Asimah,94961
40,قادم من ط. جمال باتجاه ط. الجهراء جسرعلوي," 29°19'16.95""N"," 47°53'51.62""E",Analog,Uniview,2023-11-29 00:00:00,2025-01-25 00:00:00,23,Online,23.3,50,1,358,84,Good,99.53,8.84,TRUE,,29.321375,47.89767222,Al Asimah,Al Asimah,116023
41,قادم من ط. الجهراء باتجاه جمال جسرعلوي," 29°19'16.19""N"," 47°53'51.02""E",Fisheye,Hanwha,2024-02-05 00:00:00,2025-07-09 00:00:00,19,Online,28.7,52,2,163,94,Good,99.46,7.4,TRUE,Lens requires cleaning,29.32116389,47.89750556,Al Asimah,Al Asimah,118526
42,قادم المدينه باتجاه الجهراء جسر - غرناطه ," 29°18'35.20""N","47°52'46.68""E",IP,Hanwha,2021-07-15 00:00:00,2022-03-26 00:00:00,19,Online,33.1,52,1,93,98,Good,99.54,1.22,TRUE,Heat exposure — add shade,29.30977778,47.87963333,Al Farwaniyah,Farwaniya,92589
43,قادم دوار الامم باتجاه الجهراء - غرناطه ," 29°18'36.94""N","47°52'28.94""E",Thermal,Uniview,2018-02-21 00:00:00,2019-09-12 00:00:00,20,Online,27.2,60,2,277,62,Warning,99.62,2.04,TRUE,Mount stabilization required,29.31026111,47.87470556,Al Farwaniyah,Farwaniya,43112
44,قادم الجهراء باتجاه السالميه والمدينه - جسر," 29°18'34.09""N","47°52'43.41""E",PTZ,Axis,2022-06-20 00:00:00,2023-07-23 00:00:00,18,Online,35.2,61,3,524,95,Warning,98.36,3.5,FALSE,Mount stabilization required,29.30946944,47.878725,Al Farwaniyah,Farwaniya,93289
47,قادم دوار الامم باتجاه د.4 - الاندلس," 29°18'26.80""N","47°53'34.08""E",Thermal,Hikvision,2022-11-15 00:00:00,2025-05-29 00:00:00,23,Online,28.7,39,1,94,99,Good,98.81,8.46,TRUE,Focus adjustment needed,29.30744444,47.8928,Al Farwaniyah,Farwaniya,111796
49,قادم من المدينه مخرج وصلة الدوحه," 29°19'0.38""N"," 47°47'7.85""E",PTZ,Axis,2024-01-15 00:00:00,2025-11-04 00:00:00,22,Online,24.6,52,0,706,99,Good,99.52,3.54,TRUE,Lens requires cleaning,29.31677222,47.78551389,Al Jahrah,Jahra,68536
50,قادم من وصلة الدوحه باتجاه الجهراء," 29°18'43.46""N"," 47°46'45.54""E",PTZ,Dahua,2025-02-27 00:00:00,2025-01-06 00:00:00,20,Intermittent,26.3,40,1,240,62,Warning,92.32,6.76,TRUE,,29.31207222,47.77931667,Al Jahrah,Jahra,39649
51,قادم من وصلة الدوحه باتجاه صليبخات," 29°18'40.86""N"," 47°47'30.26""E",Dome,Dahua,2025-06-23 00:00:00,2025-07-28 00:00:00,19,Intermittent,26.9,71,0,369,79,Good,91.01,2.03,TRUE,Periodic false motion alerts,29.31135,47.79173889,Al Jahrah,Jahra,43348
52,قادم من الجهراء باتجاه صلة الدوحه," 29°18'12.50""N"," 47°47'1.83""E",Bullet,Bosch,2024-09-09 00:00:00,2025-05-10 00:00:00,22,Online,44.8,39,0,167,66,Good,98.86,4.71,TRUE,Firmware update recommended,29.30347222,47.78384167,Al Jahrah,Jahra,35840
54,المخرج القادم من جابر باتجاه ط. الجهراء," 29°20'23.53""N","47°42'57.28""E",Fisheye,Uniview,2023-03-11 00:00:00,2024-07-10 00:00:00,20,Online,34.9,33,0,644,77,Good,98.38,9.3,TRUE,Heat exposure — add shade,29.33986944,47.71591111,Al Jahrah,Jahra,54912
55,قادم من المدينه باتجاه القصر وجابر," 29°20'32.16""N","47°42'38.37""E",Thermal,Bosch,2025-01-07 00:00:00,2025-09-17 00:00:00,23,Online,27,70,1,280,75,Good,99.44,1.86,FALSE,Lens requires cleaning,29.34226667,47.71065833,Al Jahrah,Jahra,43123
57,القادم من العبدلي باتجاه جابر والقصر," 29°20'28.34""N","47°42'41.21""E",Bullet,Uniview,2022-03-15 00:00:00,2024-11-30 00:00:00,21,Online,27.4,44,1,255,98,Good,98.63,5.67,TRUE,Heat exposure — add shade,29.34120556,47.71144722,Al Jahrah,Jahra,70230
59,القادم من القصر ومرور الجهراء باتجاه المدينه," 29°20'10.76""N","47°43'19.44""E",Dome,Honeywell,2018-11-05 00:00:00,2021-02-08 00:00:00,22,Online,37.3,33,0,349,70,Good,98.04,5.51,TRUE,,29.33632222,47.72206667,Al Jahrah,Jahra,44518
61,مدخل الطريق المؤدي الي ميناء الدوحه," 29°21'12.77""N","47°48'8.37""E",Dome,Dahua,2020-01-14 00:00:00,2023-06-01 00:00:00,18,Online,19,40,2,537,68,Warning,99.91,2.9,TRUE,Mount stabilization required,29.35354722,47.802325,Al Jahrah,Jahra,37435
63,الخارج من الطريق المؤدي الي ميناء الدوحه," 29°21'12.63""N","47°48'7.68""E",Thermal,Honeywell,2023-06-18 00:00:00,2024-08-21 00:00:00,18,Online,38.1,58,2,196,69,Warning,99.1,0.63,TRUE,Heat exposure — add shade,29.35350833,47.80213333,Al Jahrah,Jahra,31253
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,2020-08-12 00:00:00,2023-11-29 00:00:00,22,Online,29.4,78,2,212,83,Good,98.25,3.09,TRUE,,29.31213611,47.92613889,Al Farwaniyah,Farwaniya,76496
66,د.4 / محمد بن القاسم المخرج المؤدي - الاندلس," 29°18'45.69""N"," 47°55'24.29""E",Dome,Bosch,2019-11-28 00:00:00,2020-06-08 00:00:00,23,Online,41.1,39,2,139,76,Warning,99.05,1.94,TRUE,,29.31269167,47.92341389,Al Farwaniyah,Farwaniya,60693
67,د.4 / القاسم المخرج المؤدي الي الميره," 29°18'49.00""N","47°55'38.54""E",Dome,Bosch,2021-03-10 00:00:00,2023-03-21 00:00:00,23,Offline,29.2,73,3,564,90,Warning,90.37,2.83,TRUE,Firmware update recommended,29.31361111,47.92737222,Al Farwaniyah,Farwaniya,86196
68,د.4 / القاسم القادم المخرج المؤدي الي الغزالي,"29°18'47.47""N","47°55'44.36""E",Fisheye,Honeywell,2021-12-10 00:00:00,2023-02-01 00:00:00,23,Online,33.2,49,2,422,66,Warning,98.46,3.64,TRUE,Lens requires cleaning,29.31318611,47.92898889,Al Farwaniyah,Farwaniya,58096
69,د.4 / الغرالي المخرج المؤدي الي د.5," 29°18'46.34""N","47°56'32.06""E",Thermal,Honeywell,2024-03-20 00:00:00,2024-11-10 00:00:00,21,Online,35,58,2,352,78,Good,99.6,2.9,TRUE,Mount stabilization required,29.31287222,47.94223889,Al Farwaniyah,Farwaniya,67867
70,د.4 / الغرالي المخرج المؤدي الي بن القاسم," 29°18'53.26""N","47°56'23.10""E",Dome,Dahua,2022-05-22 00:00:00,2025-01-21 00:00:00,19,Online,32.4,38,2,697,93,Good,98.66,5.18,TRUE,Focus adjustment needed,29.31479444,47.93975,Al Farwaniyah,Farwaniya,89446
71,د.4 / الغرالي المخرج المؤدي الي جسر جابر," 29°19'0.68""N","47°56'30.12""E",Analog,Hanwha,2018-10-28 00:00:00,2024-06-01 00:00:00,22,Online,30.1,61,3,99,88,Warning,99.87,4.74,TRUE,Heat exposure — add shade,29.31685556,47.9417,Al Farwaniyah,Farwaniya,101421
72,د.4 / الغرالي المخرج المؤدي - المشاتل," 29°18'53.33""N","47°56'37.08""E",Thermal,Uniview,2023-02-14 00:00:00,2025-08-18 00:00:00,21,Offline,34.9,58,2,289,97,Warning,93.68,5.44,TRUE,,29.31481389,47.94363333,Al Farwaniyah,Farwaniya,99196
73,د.4 / المطارالمخرج المؤدي الي د.5," 29°18'58.28""N","47°57'37.85""E",PTZ,Hikvision,2022-07-05 00:00:00,2023-10-08 00:00:00,22,Online,26,58,0,484,83,Good,99.07,4.72,TRUE,Mount stabilization required,29.31618889,47.96051389,Al Farwaniyah,Farwaniya,81774
74,د.4 / المطارالمخرج المؤدي الي الغزالي," 29°19'1.10""N","47°57'32.84""E",Bullet,Vivotek,2024-05-06 00:00:00,2025-01-05 00:00:00,19,Online,28,77,2,233,70,Warning,99.19,2.17,FALSE,Lens requires cleaning,29.31697222,47.95912222,Al Farwaniyah,Farwaniya,52264
75,د.4 / المطارالمخرج المؤدي الي د.3," 29°19'3.52""N"," 47°57'39.57""E",Analog,Bosch,2021-08-10 00:00:00,2023-05-17 00:00:00,23,Online,42.6,54,2,368,81,Warning,98.85,4.98,FALSE,,29.31764444,47.96099167,Al Farwaniyah,Farwaniya,69983
76,د.4 / المطارالمخرج المؤدي الي السالميه," 29°19'0.94""N","47°57'45.28""E",PTZ,Dahua,2018-08-03 00:00:00,2023-08-06 00:00:00,23,Online,28.6,47,2,566,60,Warning,99.98,3.67,TRUE,Firmware update recommended,29.31692778,47.96257778,Al Farwaniyah,Farwaniya,50397
78,د.4 / الرياض المخرج المؤدي الي ط. المطار," 29°19'6.63""N","47°58'23.02""E",IP,Hanwha,2024-07-29 00:00:00,2025-05-18 00:00:00,23,Online,39.2,51,2,417,62,Warning,98.52,5.39,FALSE,Heat exposure — add shade,29.31850833,47.97306111,Al Farwaniyah,Farwaniya,55205
80,د.4 / الرياض المخرج المؤدي الي د-5," 29°19'4.05""N","47°58'27.54""E",Fisheye,Uniview,2025-01-17 00:00:00,2025-04-06 00:00:00,20,Online,32.9,74,2,641,76,Good,98.21,5.62,TRUE,,29.31779167,47.97431667,Al Farwaniyah,Farwaniya,71818
82,د.4 / الرياض المخرج المؤدي الي المدينه," 29°19'10.08""N","47°58'29.60""E",Analog,Honeywell,2018-02-22 00:00:00,2020-11-25 00:00:00,22,Offline,33.1,55,0,22,65,Warning,93.34,1.31,TRUE,Firmware update recommended,29.31946667,47.97488889,Al Farwaniyah,Farwaniya,44707
84,د.4 / الرياض المخرج المؤدي الي السالميه," 29°19'5.85""N","47°58'32.36""E",Thermal,Honeywell,2020-07-27 00:00:00,2024-10-29 00:00:00,20,Online,24.4,51,0,230,77,Good,98.03,4.44,TRUE,,29.31829167,47.97565556,Al Farwaniyah,Farwaniya,70170
86,د.4 / المغرب المخرج المؤدي الي  د-5," 29°19'17.80""N"," 48° 0'45.23""E",Bullet,Uniview,2023-12-20 00:00:00,2025-09-13 00:00:00,22,Online,35.4,34,2,621,63,Warning,99.4,3.18,TRUE,Check IR LEDs,29.32161111,48.01256389,Hawalli,Hawalli,51065
87,د.4 / المغرب المخرج المؤدي الي ط. الرياض," 29°19'21.74""N","48° 0'35.02""E",Analog,Hanwha,2023-08-15 00:00:00,2024-07-09 00:00:00,18,Online,35.2,36,1,77,96,Good,99.05,3.58,TRUE,Focus adjustment needed,29.32270556,48.00972778,Hawalli,Hawalli,86056
88,د.4 / المغرب المخرج المؤدي الي  السالميه," 29°19'22.97""N","48° 0'52.26""E",IP,Bosch,2018-02-09 00:00:00,2019-10-30 00:00:00,19,Offline,29.7,62,1,684,99,Warning,96.2,4.14,FALSE,Check IR LEDs,29.32304722,48.01451667,Hawalli,Hawalli,98009
89,د.4 / المغرب المخرج المؤدي الي المدينه," 29°19'28.25""N","48° 0'41.34""E",IP,Hanwha,2025-01-03 00:00:00,2025-08-30 00:00:00,20,Online,34.8,22,2,294,65,Warning,99.95,6.49,TRUE,Firmware update recommended,29.32451389,48.01148333,Hawalli,Hawalli,62777
90,مخرج برج الساعه باتجاه الملك فهد," 29°18'23.74""N"," 48° 1'9.08""E",Thermal,Bosch,2021-03-24 00:00:00,2022-03-06 00:00:00,23,Online,31.2,57,1,402,72,Good,99.93,2.1,FALSE,Heat exposure — add shade,29.30659444,48.01918889,Hawalli,Hawalli,61951
91,مدخل بجانب السره باتجاه الجهراء," 29°18'24.75""N","48° 0'54.79""E",Analog,Uniview,2023-07-20 00:00:00,2025-02-07 00:00:00,19,Online,29.4,59,2,217,96,Good,99.77,3.7,TRUE,Mount stabilization required,29.306875,48.01521944,Hawalli,Hawalli,92910
92,مخرج القادم من الجهراء باتجاه المدينه," 29°18'23.05""N","48° 1'21.49""E",Dome,Uniview,2025-01-24 00:00:00,2025-07-30 00:00:00,22,Online,39.7,59,4,298,70,Warning,99.21,1.68,TRUE,,29.30640278,48.02263611,Hawalli,Hawalli,52975
93,مدخل القادم من الملك فهد باتجاه الجهراء," 29°18'14.50""N","48° 1'27.86""E",Thermal,Axis,2020-08-13 00:00:00,2025-09-14 00:00:00,22,Intermittent,26.5,44,0,617,78,Good,94.59,4.29,TRUE,Firmware update recommended,29.30402778,48.02440556,Hawalli,Hawalli,77423
94,مدخل قصر بيان باتجاه السالميه," 29°18'14.50""N","48° 1'27.86""E",Thermal,Dahua,2024-07-02 00:00:00,2025-03-14 00:00:00,20,Online,23.8,43,0,557,94,Good,99.02,2.58,TRUE,Lens requires cleaning,29.30402778,48.02440556,Hawalli,Hawalli,88214
95,مخرج  بجانب الجابريه باتجاه المدينه," 29°18'40.10""N"," 48° 1'14.22""E",Thermal,Honeywell,2023-05-06 00:00:00,2023-03-08 00:00:00,18,Online,31.7,69,1,604,69,Good,99.46,7.87,TRUE,Focus adjustment needed,29.31113889,48.02061667,Hawalli,Hawalli,67038
97,مخرج الدائري الثاني," 29°22'1.15""N"," 48° 0'32.95""E",Bullet,Bosch,2019-12-29 00:00:00,2020-01-02 00:00:00,20,Online,27.7,47,0,77,63,Good,98.44,9.22,TRUE,,29.36698611,48.00915278,Hawalli,Hawalli,74154
98,مدخل شارع بيروت من ط. الملك فهد,"  29°19'50.30""N","48° 0'26.05""E",Analog,Hikvision,2019-09-22 00:00:00,2022-09-11 00:00:00,18,Online,36.8,61,3,548,61,Warning,98.06,2.6,TRUE,,29.33063889,48.00723611,Hawalli,Hawalli,42160
99,مخرج شارع بيروت من ط. الملك فهد," 29°19'53.16""N","48° 0'24.58""E",Analog,Vivotek,2024-07-01 00:00:00,2025-06-10 00:00:00,21,Offline,41.4,45,1,507,73,Warning,91.05,1.54,FALSE,,29.33143333,48.00682778,Hawalli,Hawalli,54743
100,المخرج المؤدي الي ط.عبدالعزيز @ الجابريه," 29°19'42.70""N","48° 2'27.77""E",PTZ,Uniview,2022-12-26 00:00:00,2023-06-15 00:00:00,19,Online,37.6,63,1,444,66,Good,99.76,1.43,TRUE,Lens requires cleaning,29.32852778,48.04104722,Hawalli,Hawalli,43414
101,مدخل د.4 القادم من المدينه - الصليبخات," 29°19'56.52""N"," 48° 2'17.95""E",Thermal,Hikvision,2022-03-31 00:00:00,2025-07-27 00:00:00,23,Online,32.6,48,1,192,90,Good,99.85,4.29,FALSE,,29.33236667,48.03831944,Hawalli,Hawalli,95391
102,مدخل د.4 القادم من الفحيحيل- السالميه," 29°19'45.64""N"," 48° 2'28.58""E",Thermal,Vivotek,2023-05-03 00:00:00,2024-09-09 00:00:00,20,Online,35.4,50,1,560,74,Good,99.78,6.43,FALSE,,29.32934444,48.04127222,Hawalli,Hawalli,70567
103,المخرج المؤدي الي المدينه القادم من السالميه," 29°20'0.71""N"," 48° 2'17.51""E",Thermal,Bosch,2018-06-30 00:00:00,2018-03-10 00:00:00,22,Online,26.4,66,3,58,67,Warning,98.16,1.65,TRUE,Periodic false motion alerts,29.33353056,48.03819722,Hawalli,Hawalli,51460
104,المدخل القادم الفحيحيل باتجاه الصليبخات," 29°19'53.10""N"," 48° 2'22.41""E",Thermal,Honeywell,2018-11-02 00:00:00,2019-08-31 00:00:00,20,Online,34.3,60,2,246,77,Good,98.43,1.32,TRUE,,29.33141667,48.03955833,Hawalli,Hawalli,59932
105,القادم من الجهراء باتجاه الفحيحيل," 29°18'30.40""N","48° 3'25.23""E",IP,Honeywell,2019-06-07 00:00:00,2020-04-01 00:00:00,19,Online,35.6,48,0,654,72,Good,99.25,2.15,TRUE,Lens requires cleaning,29.30844444,48.05700833,Hawalli,Hawalli,54213
107,القادم من المدينه باتجاه الجهراء," 29°18'42.60""N","48° 2'49.13""E",Dome,Vivotek,2020-02-03 00:00:00,2020-06-07 00:00:00,22,Online,38.2,49,1,167,75,Good,98.39,4.3,FALSE,Periodic false motion alerts,29.31183333,48.04698056,Hawalli,Hawalli,69970
108,القادم من الفحيحيل باتجاه السالميه," 29°19'3.42""N"," 48° 3'26.67""E",Analog,Bosch,2018-03-28 00:00:00,2024-07-28 00:00:00,21,Online,23.5,55,1,257,83,Good,98.09,2.37,TRUE,Mount stabilization required,29.31761667,48.05740833,Hawalli,Hawalli,74949
110,القادم من السالميه باتجاه المدينه," 29°19'17.84""N","48° 2'50.30""E",Dome,Uniview,2020-11-16 00:00:00,2021-07-24 00:00:00,18,Online,31.1,46,1,56,76,Good,99.43,1.83,TRUE,Lens requires cleaning,29.32162222,48.04730556,Hawalli,Hawalli,58861
112,مخرج  القادم من بيان باتجاه الفحيحيل,"    29°17'46.39""N","48° 4'0.64""E",Thermal,Hanwha,2025-06-09 00:00:00,2025-10-20 00:00:00,23,Online,35.4,54,1,667,84,Good,99.97,1.55,TRUE,Firmware update recommended,29.29621944,48.06684444,Mubarak Al-Kabeer,Mubarak Al-Kabeer,50613
114,مدخل شارع الاقصى القادم من الفحيحيل," 29°18'1.22""N","48° 3'51.56""E",Dome,Bosch,2022-11-14 00:00:00,2024-10-18 00:00:00,21,Offline,26.6,81,1,284,78,Warning,91.71,11.08,TRUE,Replace network cable,29.30033889,48.06432222,Hawalli,Hawalli,87552
