Cam ID,Location,Longitude,Latitude,camera_type,brand,resolution_mp,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,motion_events_per_day,bandwidth_mbps,night_vision,ptz,location_category,technical_notes
14,الاول /الرياض الخارج من المدينه - الشيراتون," 29°21'33.61""N"," 47°58'20.97""E",Analog,Hikvision,12,10/13/2021,3/13/2022,18,Online,27.7,63,1,114,95,Good,99.14,106,12.96,TRUE,FALSE,Gate,
15,قادم من د. الاول الجسر باتجاه د.2," 29°21'26.34""N","47°57'16.47""E",Dome,Hikvision,5,4/16/2024,9/26/2024,22,Online,27.6,30,0,573,75,Good,99.82,118,2.88,FALSE,TRUE,Parking,Firmware update recommended
16,قادم من د. الاول النفق باتجاه د.2," 29°21'29.67""N","47°57'22.25""E",Analog,Bosch,4,9/29/2021,5/20/2022,22,Intermittent,38.3,63,0,242,75,Warning,92.5,151,1.26,TRUE,TRUE,Parking,Firmware update recommended
17,قادم من د.2 باتجاه د. الاول نفق," 29°21'33.00""N","47°57'34.51""E",IP,Honeywell,5,1/10/2020,12/31/2023,20,Online,25.6,36,1,652,64,Good,98.04,109,4.73,TRUE,TRUE,Lobby,Mount stabilization required
18,قادم من د.2 باتجاه دوار الجهراء," 29°21'33.86""N","47°57'39.87""E",Dome,Axis,2,2/11/2019,8/6/2023,21,Intermittent,31.4,68,1,329,80,Warning,96.1,121,0.64,TRUE,FALSE,Gate,Firmware update recommended
19,قادم من دوار جمال باتجاه الخليج," 29°21'19.93""N"," 47°57'1.70""E",IP,Uniview,8,7/1/2018,9/8/2018,18,Online,43.4,46,0,112,77,Good,99.55,118,4.55,FALSE,FALSE,Perimeter,Firmware update recommended
21,قادم من الخليج  باتجاه دوار جمال  ," 29°21'21.68""N","47°57'0.01""E",Thermal,Vivotek,4,12/25/2018,9/3/2019,19,Online,25.9,29,1,452,62,Good,98.53,131,3.24,TRUE,FALSE,Gate,
23,مخرج مؤسسة البترول باتجاه الغزالي," 29°21'7.83""N","47°56'41.14""E",Bullet,Bosch,8,3/27/2022,10/24/2023,23,Online,24.5,53,1,43,70,Good,98.38,113,5.78,TRUE,FALSE,Parking,Periodic false motion alerts
24,مدخل مؤسسة البترول باتجاه شارع الخليج," 29°21'7.82""N","47°56'43.29""E",Fisheye,Uniview,4,10/14/2018,8/8/2023,19,Online,45.2,48,3,330,72,Warning,99.74,141,1.24,TRUE,FALSE,Perimeter,Mount stabilization required
25,مخرج جسر جابر للقادم من المدينه," 29°20'28.26""N"," 47°55'37.79""E",IP,Hanwha,5,1/28/2018,9/8/2022,21,Online,33.3,42,0,574,77,Good,99.7,118,4.31,TRUE,FALSE,Office,Firmware update recommended
26, القادم من جسر جابر باتجاه المدينه - مدخل," 29°20'34.41""N"," 47°55'23.52""E",IP,Axis,8,7/16/2021,4/14/2022,22,Online,30.7,26,0,32,61,Good,99.36,112,2.96,TRUE,FALSE,Roof,Focus adjustment needed
27,مخرج القادم من صليبخات باتجاه الغزالي," 29°20'18.17""N"," 47°55'21.26""E",Fisheye,Dahua,4,11/1/2023,6/14/2025,22,Online,31.2,45,0,159,94,Good,99.75,114,3.92,TRUE,TRUE,Lobby,Mount stabilization required
28,مخرج قادم من العزالي باتجاه المستشفيات," 29°20'7.23""N"," 47°55'43.41""E",Analog,Bosch,2,2/22/2019,7/8/2019,19,Online,30,43,3,571,84,Warning,98.09,120,1.29,FALSE,FALSE,Gate,Heat exposure — add shade
29,مدخل القادم من الغرالي باتجاه المدينه," 29°20'11.96""N"," 47°55'39.89""E",Thermal,Axis,4,6/29/2018,11/14/2019,19,Online,29,59,2,451,78,Good,98.34,125,2.15,TRUE,TRUE,Lobby,Heat exposure — add shade
30,مخرج باتجاه شارع الجهراء والتطبيقي," 29°20'11.65""N","47°55'37.75""E",PTZ,Hanwha,5,1/15/2019,11/24/2022,22,Online,36.1,52,0,313,72,Good,98.37,124,2.12,TRUE,FALSE,Office,Lens requires cleaning
32,القادم من طريق الجهراء بإتجاه دوار الجهراء," 29°21'32.45""N"," 47°57'46.41""E",PTZ,Hanwha,12,6/8/2019,4/27/2021,19,Online,30.2,64,2,144,91,Good,99.76,118,13.8,FALSE,FALSE,Parking,
236,القادم من دوار الجهراء باتجاه طريق د.2," 29°21'32.45""N"," 47°57'46.41""E",IP,Uniview,12,3/28/2018,5/10/2021,22,Online,39.5,50,4,180,88,Warning,99.79,126,5.42,TRUE,FALSE,Lobby,Lens requires cleaning
34,القادم طريق الجهراء باتجاه د.2," 29°20'54.57""N","47°57'24.87""E",IP,Uniview,8,10/30/2022,12/21/2023,21,Online,26.9,53,2,574,74,Warning,98.13,113,9.01,TRUE,TRUE,Roof,Check IR LEDs
36,ط. الجهراء الشويخ الاداريه باتجاه دوار الامم," 29°20'38.20""N"," 47°56'59.56""E",Thermal,Hikvision,5,8/5/2023,2/22/2025,23,Online,33.8,41,1,565,87,Good,98.44,121,2.43,TRUE,FALSE,Perimeter,
37,ط. الجهراء جسر علوي باتجاه الغزالي," 29°20'7.06""N"," 47°56'9.19""E",Dome,Dahua,5,4/27/2020,7/19/2022,18,Online,29.4,66,0,170,78,Good,98.5,105,5.31,TRUE,FALSE,Gate,Mount stabilization required
38,قادم من الغزالي باتجاه المدينه ," 29°19'58.12""N"," 47°55'58.00""E",Thermal,Dahua,8,10/30/2024,4/6/2025,19,Online,34.1,55,1,238,77,Good,99.34,109,3.83,FALSE,FALSE,Server Room,
39,مدخل الجسر العلوي باتجاه المدينه @ التربيه," 29°19'43.05""N"," 47°55'28.29""E",PTZ,Bosch,5,1/3/2025,8/10/2025,21,Intermittent,32.7,55,0,575,81,Good,95.06,126,4.17,TRUE,FALSE,Roof,
40,قادم من ط. جمال باتجاه ط. الجهراء جسرعلوي," 29°19'16.95""N"," 47°53'51.62""E",Analog,Uniview,8,11/29/2023,1/25/2025,23,Online,23.3,50,1,358,84,Good,99.53,106,8.84,TRUE,FALSE,Server Room,
41,قادم من ط. الجهراء باتجاه جمال جسرعلوي," 29°19'16.19""N"," 47°53'51.02""E",Fisheye,Hanwha,12,2/5/2024,7/9/2025,19,Online,28.7,52,2,163,94,Good,99.46,133,7.4,TRUE,FALSE,Server Room,Lens requires cleaning
42,قادم المدينه باتجاه الجهراء جسر - غرناطه ," 29°18'35.20""N","47°52'46.68""E",IP,Hanwha,2,7/15/2021,3/26/2022,19,Online,33.1,52,1,93,98,Good,99.54,131,1.22,TRUE,FALSE,Perimeter,Heat exposure — add shade
43,قادم دوار الامم باتجاه الجهراء - غرناطه ," 29°18'36.94""N","47°52'28.94""E",Thermal,Uniview,2,2/21/2018,9/12/2019,20,Online,27.2,60,2,277,62,Warning,99.62,127,2.04,TRUE,TRUE,Perimeter,Mount stabilization required
44,قادم الجهراء باتجاه السالميه والمدينه - جسر," 29°18'34.09""N","47°52'43.41""E",PTZ,Axis,4,6/20/2022,7/23/2023,18,Online,35.2,61,3,524,95,Warning,98.36,128,3.5,FALSE,FALSE,Warehouse,Mount stabilization required
47,قادم دوار الامم باتجاه د.4 - الاندلس," 29°18'26.80""N","47°53'34.08""E",Thermal,Hikvision,8,11/15/2022,5/29/2025,23,Online,28.7,39,1,94,99,Good,98.81,129,8.46,TRUE,FALSE,Server Room,Focus adjustment needed
49,قادم من المدينه مخرج وصلة الدوحه," 29°19'0.38""N"," 47°47'7.85""E",PTZ,Axis,5,1/15/2024,11/4/2025,22,Online,24.6,52,0,706,99,Good,99.52,132,3.54,TRUE,TRUE,Lobby,Lens requires cleaning
50,قادم من وصلة الدوحه باتجاه الجهراء," 29°18'43.46""N"," 47°46'45.54""E",PTZ,Dahua,12,2/27/2025,1/6/2025,20,Intermittent,26.3,40,1,240,62,Warning,92.32,89,6.76,TRUE,TRUE,Gate,
51,قادم من وصلة الدوحه باتجاه صليبخات," 29°18'40.86""N"," 47°47'30.26""E",Dome,Dahua,2,6/23/2025,7/28/2025,19,Intermittent,26.9,71,0,369,79,Good,91.01,128,2.03,TRUE,TRUE,Office,Periodic false motion alerts
52,قادم من الجهراء باتجاه صلة الدوحه," 29°18'12.50""N"," 47°47'1.83""E",Bullet,Bosch,5,9/9/2024,5/10/2025,22,Online,44.8,39,0,167,66,Good,98.86,106,4.71,TRUE,TRUE,Server Room,Firmware update recommended
54,المخرج القادم من جابر باتجاه ط. الجهراء," 29°20'23.53""N","47°42'57.28""E",Fisheye,Uniview,12,3/11/2023,7/10/2024,20,Online,34.9,33,0,644,77,Good,98.38,111,9.3,TRUE,TRUE,Parking,Heat exposure — add shade
55,قادم من المدينه باتجاه القصر وجابر," 29°20'32.16""N","47°42'38.37""E",Thermal,Bosch,5,1/7/2025,9/17/2025,23,Online,27,70,1,280,75,Good,99.44,126,1.86,FALSE,TRUE,Lobby,Lens requires cleaning
57,القادم من العبدلي باتجاه جابر والقصر," 29°20'28.34""N","47°42'41.21""E",Bullet,Uniview,5,3/15/2022,11/30/2024,21,Online,27.4,44,1,255,98,Good,98.63,144,5.67,TRUE,FALSE,Warehouse,Heat exposure — add shade
59,القادم من القصر ومرور الجهراء باتجاه المدينه," 29°20'10.76""N","47°43'19.44""E",Dome,Honeywell,5,11/5/2018,2/8/2021,22,Online,37.3,33,0,349,70,Good,98.04,125,5.51,TRUE,TRUE,Gate,
61,مدخل الطريق المؤدي الي ميناء الدوحه," 29°21'12.77""N","47°48'8.37""E",Dome,Dahua,5,1/14/2020,6/1/2023,18,Online,19,40,2,537,68,Warning,99.91,121,2.9,TRUE,FALSE,Warehouse,Mount stabilization required
63,الخارج من الطريق المؤدي الي ميناء الدوحه," 29°21'12.63""N","47°48'7.68""E",Thermal,Honeywell,2,6/18/2023,8/21/2024,18,Online,38.1,58,2,196,69,Warning,99.1,126,0.63,TRUE,FALSE,Roof,Heat exposure — add shade
65,د.4 /محمد بن القاسم  المخرج المؤدي الي د-5," 29°18'43.69""N","47°55'34.10""E",IP,Uniview,8,8/12/2020,11/29/2023,22,Online,29.4,78,2,212,83,Good,98.25,88,3.09,TRUE,TRUE,Roof,
66,د.4 / محمد بن القاسم المخرج المؤدي - الاندلس," 29°18'45.69""N"," 47°55'24.29""E",Dome,Bosch,4,11/28/2019,6/8/2020,23,Online,41.1,39,2,139,76,Warning,99.05,124,1.94,TRUE,FALSE,Lobby,
67,د.4 / القاسم المخرج المؤدي الي الميره," 29°18'49.00""N","47°55'38.54""E",Dome,Bosch,8,3/10/2021,3/21/2023,23,Offline,29.2,73,3,564,90,Warning,90.37,108,2.83,TRUE,TRUE,Roof,Firmware update recommended
68,د.4 / القاسم القادم المخرج المؤدي الي الغزالي,"29°18'47.47""N","47°55'44.36""E",Fisheye,Honeywell,8,12/10/2021,2/1/2023,23,Online,33.2,49,2,422,66,Warning,98.46,124,3.64,TRUE,FALSE,Perimeter,Lens requires cleaning
69,د.4 / الغرالي المخرج المؤدي الي د.5," 29°18'46.34""N","47°56'32.06""E",Thermal,Honeywell,5,3/20/2024,11/10/2024,21,Online,35,58,2,352,78,Good,99.6,116,2.9,TRUE,FALSE,Office,Mount stabilization required
70,د.4 / الغرالي المخرج المؤدي الي بن القاسم," 29°18'53.26""N","47°56'23.10""E",Dome,Dahua,5,5/22/2022,1/21/2025,19,Online,32.4,38,2,697,93,Good,98.66,119,5.18,TRUE,FALSE,Gate,Focus adjustment needed
71,د.4 / الغرالي المخرج المؤدي الي جسر جابر," 29°19'0.68""N","47°56'30.12""E",Analog,Hanwha,4,10/28/2018,6/1/2024,22,Online,30.1,61,3,99,88,Warning,99.87,127,4.74,TRUE,FALSE,Office,Heat exposure — add shade
72,د.4 / الغرالي المخرج المؤدي - المشاتل," 29°18'53.33""N","47°56'37.08""E",Thermal,Uniview,5,2/14/2023,8/18/2025,21,Offline,34.9,58,2,289,97,Warning,93.68,122,5.44,TRUE,FALSE,Lobby,
73,د.4 / المطارالمخرج المؤدي الي د.5," 29°18'58.28""N","47°57'37.85""E",PTZ,Hikvision,4,7/5/2022,10/8/2023,22,Online,26,58,0,484,83,Good,99.07,111,4.72,TRUE,FALSE,Warehouse,Mount stabilization required
74,د.4 / المطارالمخرج المؤدي الي الغزالي," 29°19'1.10""N","47°57'32.84""E",Bullet,Vivotek,2,5/6/2024,1/5/2025,19,Online,28,77,2,233,70,Warning,99.19,140,2.17,FALSE,TRUE,Office,Lens requires cleaning
75,د.4 / المطارالمخرج المؤدي الي د.3," 29°19'3.52""N"," 47°57'39.57""E",Analog,Bosch,5,8/10/2021,5/17/2023,23,Online,42.6,54,2,368,81,Warning,98.85,119,4.98,FALSE,FALSE,Parking,
76,د.4 / المطارالمخرج المؤدي الي السالميه," 29°19'0.94""N","47°57'45.28""E",PTZ,Dahua,8,8/3/2018,8/6/2023,23,Online,28.6,47,2,566,60,Warning,99.98,99,3.67,TRUE,TRUE,Gate,Firmware update recommended
78,د.4 / الرياض المخرج المؤدي الي ط. المطار," 29°19'6.63""N","47°58'23.02""E",IP,Hanwha,8,7/29/2024,5/18/2025,23,Online,39.2,51,2,417,62,Warning,98.52,116,5.39,FALSE,TRUE,Warehouse,Heat exposure — add shade
80,د.4 / الرياض المخرج المؤدي الي د-5," 29°19'4.05""N","47°58'27.54""E",Fisheye,Uniview,5,1/17/2025,4/6/2025,20,Online,32.9,74,2,641,76,Good,98.21,99,5.62,TRUE,FALSE,Server Room,
82,د.4 / الرياض المخرج المؤدي الي المدينه," 29°19'10.08""N","47°58'29.60""E",Analog,Honeywell,4,2/22/2018,11/25/2020,22,Offline,33.1,55,0,22,65,Warning,93.34,103,1.31,TRUE,FALSE,Warehouse,Firmware update recommended
84,د.4 / الرياض المخرج المؤدي الي السالميه," 29°19'5.85""N","47°58'32.36""E",Thermal,Honeywell,4,7/27/2020,10/29/2024,20,Online,24.4,51,0,230,77,Good,98.03,106,4.44,TRUE,FALSE,Roof,
86,د.4 / المغرب المخرج المؤدي الي  د-5," 29°19'17.80""N"," 48° 0'45.23""E",Bullet,Uniview,5,12/20/2023,9/13/2025,22,Online,35.4,34,2,621,63,Warning,99.4,113,3.18,TRUE,FALSE,Server Room,Check IR LEDs
87,د.4 / المغرب المخرج المؤدي الي ط. الرياض," 29°19'21.74""N","48° 0'35.02""E",Analog,Hanwha,5,8/15/2023,7/9/2024,18,Online,35.2,36,1,77,96,Good,99.05,120,3.58,TRUE,FALSE,Warehouse,Focus adjustment needed
88,د.4 / المغرب المخرج المؤدي الي  السالميه," 29°19'22.97""N","48° 0'52.26""E",IP,Bosch,8,2/9/2018,10/30/2019,19,Offline,29.7,62,1,684,99,Warning,96.2,125,4.14,FALSE,TRUE,Office,Check IR LEDs
89,د.4 / المغرب المخرج المؤدي الي المدينه," 29°19'28.25""N","48° 0'41.34""E",IP,Hanwha,8,1/3/2025,8/30/2025,20,Online,34.8,22,2,294,65,Warning,99.95,123,6.49,TRUE,TRUE,Perimeter,Firmware update recommended
90,مخرج برج الساعه باتجاه الملك فهد," 29°18'23.74""N"," 48° 1'9.08""E",Thermal,Bosch,2,3/24/2021,3/6/2022,23,Online,31.2,57,1,402,72,Good,99.93,113,2.1,FALSE,FALSE,Lobby,Heat exposure — add shade
91,مدخل بجانب السره باتجاه الجهراء," 29°18'24.75""N","48° 0'54.79""E",Analog,Uniview,4,7/20/2023,2/7/2025,19,Online,29.4,59,2,217,96,Good,99.77,137,3.7,TRUE,FALSE,Roof,Mount stabilization required
92,مخرج القادم من الجهراء باتجاه المدينه," 29°18'23.05""N","48° 1'21.49""E",Dome,Uniview,2,1/24/2025,7/30/2025,22,Online,39.7,59,4,298,70,Warning,99.21,109,1.68,TRUE,FALSE,Parking,
93,مدخل القادم من الملك فهد باتجاه الجهراء," 29°18'14.50""N","48° 1'27.86""E",Thermal,Axis,4,8/13/2020,9/14/2025,22,Intermittent,26.5,44,0,617,78,Good,94.59,111,4.29,TRUE,FALSE,Lobby,Firmware update recommended
94,مدخل قصر بيان باتجاه السالميه," 29°18'14.50""N","48° 1'27.86""E",Thermal,Dahua,4,7/2/2024,3/14/2025,20,Online,23.8,43,0,557,94,Good,99.02,114,2.58,TRUE,TRUE,Roof,Lens requires cleaning
95,مخرج  بجانب الجابريه باتجاه المدينه," 29°18'40.10""N"," 48° 1'14.22""E",Thermal,Honeywell,12,5/6/2023,3/8/2023,18,Online,31.7,69,1,604,69,Good,99.46,134,7.87,TRUE,FALSE,Lobby,Focus adjustment needed
97,مخرج الدائري الثاني," 29°22'1.15""N"," 48° 0'32.95""E",Bullet,Bosch,8,12/29/2019,1/2/2020,20,Online,27.7,47,0,77,63,Good,98.44,102,9.22,TRUE,FALSE,Perimeter,
98,مدخل شارع بيروت من ط. الملك فهد,"  29°19'50.30""N","48° 0'26.05""E",Analog,Hikvision,5,9/22/2019,9/11/2022,18,Online,36.8,61,3,548,61,Warning,98.06,130,2.6,TRUE,FALSE,Server Room,
99,مخرج شارع بيروت من ط. الملك فهد," 29°19'53.16""N","48° 0'24.58""E",Analog,Vivotek,5,7/1/2024,6/10/2025,21,Offline,41.4,45,1,507,73,Warning,91.05,121,1.54,FALSE,FALSE,Warehouse,
100,المخرج المؤدي الي ط.عبدالعزيز @ الجابريه," 29°19'42.70""N","48° 2'27.77""E",PTZ,Uniview,2,12/26/2022,6/15/2023,19,Online,37.6,63,1,444,66,Good,99.76,131,1.43,TRUE,TRUE,Warehouse,Lens requires cleaning
101,مدخل د.4 القادم من المدينه - الصليبخات," 29°19'56.52""N"," 48° 2'17.95""E",Thermal,Hikvision,4,3/31/2022,7/27/2025,23,Online,32.6,48,1,192,90,Good,99.85,139,4.29,FALSE,FALSE,Parking,
102,مدخل د.4 القادم من الفحيحيل- السالميه," 29°19'45.64""N"," 48° 2'28.58""E",Thermal,Vivotek,8,5/3/2023,9/9/2024,20,Online,35.4,50,1,560,74,Good,99.78,116,6.43,FALSE,FALSE,Server Room,
103,المخرج المؤدي الي المدينه القادم من السالميه," 29°20'0.71""N"," 48° 2'17.51""E",Thermal,Bosch,2,6/30/2018,3/10/2018,22,Online,26.4,66,3,58,67,Warning,98.16,132,1.65,TRUE,FALSE,Gate,Periodic false motion alerts
104,المدخل القادم الفحيحيل باتجاه الصليبخات," 29°19'53.10""N"," 48° 2'22.41""E",Thermal,Honeywell,2,11/2/2018,8/31/2019,20,Online,34.3,60,2,246,77,Good,98.43,113,1.32,TRUE,TRUE,Gate,
105,القادم من الجهراء باتجاه الفحيحيل," 29°18'30.40""N","48° 3'25.23""E",IP,Honeywell,4,6/7/2019,4/1/2020,19,Online,35.6,48,0,654,72,Good,99.25,129,2.15,TRUE,FALSE,Office,Lens requires cleaning
107,القادم من المدينه باتجاه الجهراء," 29°18'42.60""N","48° 2'49.13""E",Dome,Vivotek,8,2/3/2020,6/7/2020,22,Online,38.2,49,1,167,75,Good,98.39,113,4.3,FALSE,FALSE,Server Room,Periodic false motion alerts
108,القادم من الفحيحيل باتجاه السالميه," 29°19'3.42""N"," 48° 3'26.67""E",Analog,Bosch,2,3/28/2018,7/28/2024,21,Online,23.5,55,1,257,83,Good,98.09,96,2.37,TRUE,FALSE,Office,Mount stabilization required
110,القادم من السالميه باتجاه المدينه," 29°19'17.84""N","48° 2'50.30""E",Dome,Uniview,5,11/16/2020,7/24/2021,18,Online,31.1,46,1,56,76,Good,99.43,128,1.83,TRUE,FALSE,Gate,Lens requires cleaning
112,مخرج  القادم من بيان باتجاه الفحيحيل,"    29°17'46.39""N","48° 4'0.64""E",Thermal,Hanwha,2,6/9/2025,10/20/2025,23,Online,35.4,54,1,667,84,Good,99.97,109,1.55,TRUE,TRUE,Gate,Firmware update recommended
114,مدخل شارع الاقصى القادم من الفحيحيل," 29°18'1.22""N","48° 3'51.56""E",Dome,Bosch,12,11/14/2022,10/18/2024,21,Offline,26.6,81,1,284,78,Warning,91.71,106,11.08,TRUE,FALSE,Server Room,Replace network cable
116,مخرج  القادم من مشرف باتجاه الفحيحيل," 29°17'20.89""N","48° 4'19.50""E",Dome,Vivotek,5,9/18/2022,12/7/2025,19,Online,26.7,48,1,258,65,Good,99.04,120,5.9,FALSE,FALSE,Lobby,Heat exposure — add shade
117,مدخل شارع سالم الحريص القادم من الفحيحيل," 29°17'22.83""N"," 48° 4'20.91""E",Thermal,Dahua,5,2/1/2018,12/7/2021,20,Online,33.7,54,0,722,65,Good,99.91,125,3.5,TRUE,FALSE,Perimeter,
118,قادم من الفحيحيل باتجاه شارع التعاوان," 29°15'53.70""N","48° 5'11.26""E",Dome,Axis,2,3/21/2019,10/31/2019,21,Online,25.5,70,1,628,82,Good,99.19,134,0.84,TRUE,FALSE,Office,Focus adjustment needed
120,قادم من السادس باتجاه الفحيحيل," 29°15'54.09""N","48° 5'8.09""E",Bullet,Vivotek,5,9/14/2018,10/12/2022,21,Online,37.8,56,0,414,66,Good,98.24,134,3.33,FALSE,TRUE,Perimeter,
122,قادم من شارع التعاون باتجاه المدينه,"  29°16'24.02""N","48° 4'58.73""E",PTZ,Hikvision,8,12/25/2021,8/13/2025,20,Online,42.1,45,0,170,66,Good,98.18,113,8.1,FALSE,TRUE,Perimeter,Periodic false motion alerts
123,قادم من المدينه باتجاه الجهراء," 29°16'18.37""N","48° 4'59.42""E",Thermal,Bosch,2,12/30/2018,7/21/2025,21,Online,38,65,1,595,71,Good,98.4,121,0.82,TRUE,FALSE,Parking,
124,قادم من المسيله باتجاه المديدنه," 29°16'5.63""N","48° 2'29.06""E",Fisheye,Hikvision,4,6/12/2018,3/4/2025,18,Online,40.1,40,1,394,98,Good,99.16,110,3.73,TRUE,FALSE,Server Room,
125,قادم من الاحمدي باتجاه المسيله," 29°15'51.86""N"," 48° 2'47.92""E",Thermal,Hikvision,5,10/11/2022,1/28/2023,19,Online,38.3,39,1,44,94,Good,98.56,126,3.39,TRUE,FALSE,Office,
126,قادم من الجهراء باتجاه الاحمدي," 29°15'30.42""N","48° 2'38.20""E",Analog,Vivotek,4,5/2/2018,7/23/2024,19,Online,30.2,67,3,244,76,Warning,99.28,109,2.71,TRUE,FALSE,Parking,Firmware update recommended
129,قادم من د.4 باتجاه الجهراء,"29°18'5.93""N","47°56'29.26""E",Bullet,Honeywell,2,4/1/2024,11/16/2024,19,Online,28.3,53,2,67,76,Good,98.72,139,1.42,TRUE,TRUE,Parking,Mount stabilization required
130,قادم من الضجيج باتجاه السالميه," 29°18'6.17""N","47°57'1.54""E",IP,Axis,5,3/27/2022,5/7/2023,23,Intermittent,35,44,1,121,85,Warning,92.81,100,2.02,TRUE,TRUE,Server Room,Focus adjustment needed
131,قادم من الضجيج باتجاه العمارية," 29°18'6.17""N","47°57'1.54""E",Bullet,Honeywell,4,10/28/2018,4/23/2025,23,Online,30.6,48,0,255,82,Good,98.63,117,1.77,TRUE,TRUE,Gate,
132,قادم من الجهراء باتجاه الفروانيه," 29°18'8.51""N","47°57'39.44""E",IP,Axis,5,2/17/2024,6/19/2025,18,Online,39.5,81,1,96,99,Good,99.45,110,3.08,FALSE,FALSE,Lobby,Focus adjustment needed
134,قادم من الفروانيه باتجاه السالميه," 29°18'10.03""N","47°57'59.60""E",Bullet,Hikvision,4,10/14/2025,10/14/2025,19,Online,37,52,1,531,65,Good,98.96,125,4.47,TRUE,FALSE,Roof,Firmware update recommended
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,12,2/14/2025,5/6/2025,22,Online,34.5,66,0,690,92,Good,99.73,139,4.76,FALSE,TRUE,Office,Heat exposure — add shade
136,قادم من الجهراء باتجاه د.6," 29°17'21.95""N","47°59'0.33""E",Dome,Hanwha,2,7/14/2022,2/19/2024,19,Online,30,73,2,678,88,Good,98.5,127,1.52,TRUE,FALSE,Warehouse,
129,قادم من د.4 باتجاه الجهراء,"29°18'5.93""N","47°56'29.26""E",Bullet,Honeywell,4,4/1/2024,6/11/2019,23,Intermittent,31.6,62,0,169,91,Good,95.46,128,2.11,TRUE,FALSE,Parking,Focus adjustment needed
138,قادم من د.6 باتجاه السالميه," 29°18'14.80""N","47°59'5.17""E",IP,Honeywell,5,8/13/2021,7/24/2024,21,Online,32.8,65,1,482,98,Good,99.29,112,3.96,FALSE,FALSE,Perimeter,
135,قادم السالميه باتجاه د.4," 29°18'12.40""N","47°57'58.20""E",Dome,Honeywell,12,2/14/2025,8/24/2021,18,Online,34.5,83,1,262,92,Good,98.88,115,5.41,FALSE,TRUE,Roof,Heat exposure — add shade
140,قادم من صبحان باتجاه الجهراء ," 29°16'0.85""N"," 47°59'16.96""E",Bullet,Dahua,2,4/20/2023,11/23/2023,22,Online,24.4,64,2,395,60,Warning,99.52,104,0.8,TRUE,FALSE,Gate,Replace network cable
141,قادم من د.5 باتجاه الجهراء," 29°15'58.38""N","47°59'1.20""E",Analog,Hanwha,5,5/16/2018,11/7/2022,23,Online,33.1,53,2,423,82,Good,98.95,122,2.53,FALSE,FALSE,Perimeter,
